Provinsi,Kabupaten/Kota,Luas Wilayah (km2),Jumlah Penduduk (ribu jiwa),Indeks Pembangunan Literasi Masyarakat,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak,Realisasi Jumlah Kepala Keluarga Penerima Manfaat Bantuan Sosial,Jumlah Anggaran Bantuan Keluarga (rupiah),Rata-rata Pengeluaran per Kapita Sebulan Makanan dan Bukan Makanan di Daerah Perkotaan dan Perdesaan (rupiah),Tingkat Penyerapan Pendapatan (%),Tingkat Penyerapan Belanja (%),Rasio Efektivitas Pendapatan Asli Daerah (PAD) (%),Rasio Efektivitas Penerimaan Pajak (%),Rasio Belanja Terhadap Pendapatan (%),Rasio Belanja Pendidikan (%),Rasio Belanja Kesehatan (%),Rasio Belanja Ekonomi (%),Rasio Belanja Perumahan (%),Umur Harapan Hidup (tahun),Rata-rata Lama Sekolah (tahun),Indeks Pembangunan Manusia (%),Indeks Pembangunan Gender (%),Tingkat Pengangguran Terbuka (%),Jumlah Guru SMA/SMK,Jumlah Siswa SMA/SMK,Produk Domestik Regional Bruto (PDRB) Atas Dasar Harga Berlaku,Jumlah Desa yang memiliki Sarana Kesehatan,Jumlah Tenaga Kesehatan,Persentase Penduduk Miskin (%)
Sulawesi Selatan,Sidenreng Rappang,1832.3,330.74,93.86,98.32,96.78,63049,37829400000,1423965,100.67,101.17,108.3,97.39,101.52,31.9,25.17,12.03,1.32,74.45,8.21,74.81,92.6,3.02,783,9036,19615,112,2688,5.02
Sulawesi Selatan,Pinrang,1896.575,424.65,72.19,92.74,90.47,87741,52644600000,1188655,100.0,100.0,100.0,100.0,110.17,30.88,24.74,12.59,1.54,74.63,8.53,75.43,95.86,3.12,1050,13468,26653,106,1977,8.55
Sulawesi Selatan,Enrekang,1806.845,238.1,94.19,96.63,83.34,83251,49950600000,1396184,94.82,85.07,45.4,67.66,92.77,34.08,23.8,10.95,1.15,74.07,9.11,75.83,98.14,1.51,836,9634,10467,105,1872,11.25
Sulawesi Selatan,Luwu,2902.069,384.28,65.35,92.91,82.05,170177,102106200000,1024293,103.4,101.8,127.86,121.37,99.93,30.77,22.92,12.56,1.44,73.52,8.81,73.86,92.83,4.14,1328,16324,22952,192,3028,11.7
Sulawesi Selatan,Tana Toraja,2043.623,292.42,78.61,90.74,66.5,69827,41896200000,1013485,98.93,102.96,108.82,82.74,104.22,27.83,20.07,13.0,0.94,74.85,8.77,71.94,89.05,3.98,1010,13661,10159,75,1652,10.79
Sulawesi Selatan,Luwu Utara,7422.418,337.66,77.93,97.14,88.12,101219,60731400000,1298017,96.16,93.21,115.19,72.62,96.9,30.22,20.45,6.89,1.28,73.87,8.37,74.04,90.33,2.39,1019,12201,19689,111,2317,11.24
Sulawesi Selatan,Luwu Timur,6745.921,312.73,88.0,89.65,88.27,67306,40383600000,1379055,98.44,98.23,101.4,124.88,103.75,20.2,24.29,16.38,2.84,74.55,8.94,76.44,90.44,4.58,730,12265,30392,174,2670,6.55
Sulawesi Selatan,Toraja Utara,1289.134,277.79,67.65,92.86,70.34,71976,43185600000,1109514,100.7,98.53,119.98,113.85,98.03,34.77,18.88,11.12,1.61,75.03,8.54,72.31,88.43,2.44,997,15125,13258,76,1839,10.73
Sulawesi Selatan,Kota Makassar,176.852,1464.64,78.99,93.92,98.57,156914,94148400000,1803710,82.46,73.91,67.41,75.01,101.52,27.23,13.03,17.33,2.76,75.33,11.57,85.23,94.99,9.71,4165,63988,243063,314,18035,4.97
Sulawesi Selatan,Kota Parepare,89.67,160.92,94.68,96.7,99.53,27587,16552200000,1535884,97.84,94.42,121.61,96.08,98.26,21.84,15.75,8.57,1.81,74.63,10.88,80.97,97.24,5.23,610,7323,9972,45,1993,5.27
Sulawesi Selatan,Kota Palopo,273.235,195.67,88.38,96.57,99.26,41551,24930600000,1583209,95.23,95.13,86.87,98.2,101.46,21.4,32.24,15.1,1.86,74.19,11.16,81.25,97.58,7.64,856,10408,11084,81,2833,7.35
Sulawesi Tenggara,Buton,1669.33,122.03,61.18,81.22,97.21,34526,20715600000,852773,109.04,99.1,97.85,93.18,94.16,32.06,19.28,9.09,2.51,70.47,8.63,69.72,82.07,2.95,976,6278,5297,75,1492,13.99
Sulawesi Tenggara,Muna,1858.1,227.98,36.04,85.32,97.66,77183,46309800000,758563,92.76,85.55,39.63,19.45,89.75,40.18,20.0,9.74,1.85,71.64,8.71,71.5,88.37,3.78,1738,13649,9489,113,3204,13.78
Sulawesi Tenggara,Konawe,5351.85,274.07,38.04,90.7,86.53,76865,46119000000,1253275,107.9,103.14,116.06,113.29,95.51,25.7,17.5,9.56,1.31,72.85,9.69,74.5,93.81,2.95,1009,10563,20748,105,3692,13.25
Sulawesi Tenggara,Kolaka,2958.92,248.76,48.73,94.03,93.67,50182,30109200000,1285552,109.61,109.61,98.66,98.93,100.62,20.68,20.54,15.95,3.63,73.68,9.38,76.2,90.42,2.59,863,9530,38163,86,2126,11.67
Sulawesi Tenggara,Konawe Selatan,4237.74,329.21,61.02,93.45,91.82,80006,48003600000,1109713,113.53,102.48,143.7,139.53,104.47,20.92,13.27,14.03,2.69,71.8,8.76,71.51,88.61,2.76,998,12129,17760,107,1903,11.2
Sulawesi Tenggara,Bombana,3293.97,160.65,68.23,87.47,96.88,41675,25005000000,1187105,106.68,106.61,109.24,73.02,100.32,22.48,16.41,16.89,2.42,71.03,8.1,68.85,86.08,1.43,761,6717,9155,72,1402,10.54
Sulawesi Tenggara,Wakatobi,450.46,118.26,66.98,87.04,99.19,39389,23633400000,1164495,106.62,100.19,140.78,112.44,103.01,26.57,19.27,13.69,2.16,70.88,8.53,72.03,89.58,3.02,635,4660,6140,46,1362,14.36
Sulawesi Tenggara,Kolaka Utara,2932.25,148.5,79.24,92.38,94.08,46658,27994800000,1599338,108.24,102.27,182.45,106.59,96.53,18.01,16.32,12.75,3.26,70.67,8.82,71.75,98.72,1.64,472,4501,12281,67,1685,13.51
Sulawesi Tenggara,Buton Utara,1755.83,69.8,77.22,72.91,91.92,24128,14476800000,917048,107.83,98.25,148.25,83.36,95.11,25.6,20.81,7.91,3.48,71.4,9.24,70.75,92.53,2.13,576,3609,4274,74,1179,14.09
Sulawesi Tenggara,Konawe Utara,4219.81,73.83,48.03,84.58,85.87,16279,9767400000,1674087,115.44,92.75,298.92,203.77,98.62,18.53,10.97,25.8,1.97,70.6,9.61,72.71,87.38,2.4,269,3056,5707,51,1479,13.17
Sulawesi Tenggara,Kolaka Timur,3992.53,127.55,43.08,94.72,96.35,41814,25088400000,1154947,105.61,100.91,139.25,75.47,102.8,24.22,12.62,15.4,2.58,73.23,8.43,70.32,99.26,2.15,499,4692,6137,38,1234,13.71
Sulawesi Tenggara,Konawe Kepulauan,705.71,39.69,66.06,74.55,96.42,9598,5758800000,1101505,112.2,119.84,125.04,126.48,104.79,17.23,18.76,17.12,3.9,70.29,9.46,68.77,86.43,1.51,191,1607,1972,28,692,15.54
Sulawesi Tenggara,Muna Barat,818.7,90.96,36.29,74.6,95.52,33426,20055600000,831271,106.1,94.14,84.84,28.42,100.97,24.34,17.8,10.93,3.05,71.23,8.09,68.37,89.71,2.06,875,4367,3541,58,1065,13.38
Sulawesi Tenggara,Buton Tengah,836.96,121.29,46.74,87.71,97.67,24189,14513400000,667517,111.47,102.61,189.16,89.55,101.42,28.44,15.33,13.86,3.34,70.47,7.35,67.58,83.79,2.84,715,5863,3170,43,1066,14.4
Sulawesi Tenggara,Buton Selatan,517.63,101.19,74.67,84.32,99.46,16835,10101000000,815967,105.37,100.52,204.86,141.39,102.88,30.47,20.05,9.17,1.87,70.22,7.75,68.04,74.51,3.48,672,4472,3827,36,1387,14.28
Sulawesi Tenggara,Kota Kendari,265.79,370.76,72.7,98.32,99.7,73596,44157600000,1783434,97.57,98.94,84.85,98.15,101.52,26.59,21.76,14.59,3.01,75.47,12.55,85.97,95.14,5.67,1705,20289,30021,96,5455,4.23
Sulawesi Tenggara,Kota Baubau,294.14,168.54,62.55,96.43,100.0,44067,26440200000,1232121,99.48,95.05,111.23,82.29,97.27,28.85,22.64,13.73,3.53,74.67,11.03,79.61,91.35,3.99,912,9717,12205,57,1831,7.4
Gorontalo,Boalemo,1830.865,153.27,37.13,73.11,95.37,62723,37633800000,1209210,99.16,99.86,104.48,110.52,101.94,28.53,20.18,13.55,0.93,71.43,7.31,69.34,83.61,3.06,545,5542,6984,76,1230,17.83
Gorontalo,Gorontalo,2160.364,409.51,59.91,82.32,96.2,173955,104373000000,1099250,98.83,98.73,102.03,75.5,95.9,29.66,22.49,11.97,0.81,70.99,7.95,70.96,84.0,2.64,1039,13695,17096,166,2541,16.43
Gorontalo,Pohuwato,4370.359,153.77,75.7,82.04,96.2,42650,25590000000,1067396,96.34,97.4,85.23,82.12,96.56,24.45,23.17,11.78,1.29,69.63,7.78,70.19,92.39,3.12,466,5268,8579,62,1251,17.11
Gorontalo,Bone Bolango,1888.998,170.65,92.62,79.99,96.05,59903,35941800000,1248885,99.5,102.3,87.18,87.3,101.79,24.42,24.81,10.36,1.81,70.4,8.52,72.82,89.26,3.76,487,5789,6049,65,1362,14.8
Gorontalo,Gorontalo Utara,1703.628,132.78,72.62,84.07,90.71,53657,32194200000,1200375,99.68,97.0,109.18,71.92,98.62,30.48,19.06,11.0,0.78,69.88,7.4,68.83,82.8,2.79,385,4876,4414,54,995,16.86
Gorontalo,Kota Gorontalo,70.933,207.81,80.94,93.89,99.37,58308,34984800000,1761537,97.66,99.02,96.63,95.51,99.57,22.13,36.49,9.17,2.68,73.55,10.41,79.18,88.47,3.89,831,11303,11237,99,2159,5.74
Sulawesi Barat,Majene,900.92,183.869,63.78,84.52,98.5,73694,44216400000,927621,98.06,96.22,76.33,49.28,100.39,37.33,20.11,9.71,1.62,70.39,9.46,73.25,95.16,4.19,783,8637,6496,70,1503,13.64
Sulawesi Barat,Polewali Mandar,2074.12,501.319,25.54,87.73,83.6,174113,104467800000,1029771,99.76,98.18,115.73,94.35,100.31,33.33,27.0,4.94,2.04,71.08,7.72,69.88,92.25,3.1,1379,16423,17771,124,2887,15.66
Sulawesi Barat,Mamasa,3015.95,172.923,49.66,67.57,36.7,58781,35268600000,756159,96.94,93.03,39.69,29.93,98.01,31.18,13.23,9.16,2.5,72.27,8.13,68.68,98.37,2.5,934,7270,3772,146,1497,14.2
Sulawesi Barat,Mamuju,4942.25,297.141,43.41,81.46,84.36,64970,38982000000,1299832,99.0,98.5,114.04,100.81,103.83,33.81,18.79,13.18,1.76,72.13,8.35,71.86,90.92,2.77,941,10658,16024,86,2695,7.15
Sulawesi Barat,Pasangkayu,2903.18,145.12,23.94,83.63,87.28,26797,16078200000,1361768,101.97,105.43,137.52,154.82,99.96,24.96,18.6,15.53,3.7,70.41,8.13,71.04,86.14,1.2,585,6503,15579,79,984,5.21
Sulawesi Barat,Mamuju Tengah,2758.34,202.86,31.69,82.89,81.48,20575,12345000000,1240201,101.49,100.87,131.19,92.85,104.11,28.18,24.16,10.34,3.1,70.05,7.94,68.53,86.74,1.7,407,4409,4555,67,972,7.22
Maluku,Kepulauan Tanimbar,4431.08,132.337,58.68,96.1,92.89,28844,17306400000,922649,95.48,92.98,130.12,74.06,101.2,17.1,12.67,14.22,1.88,70.2,9.92,67.69,87.55,4.24,716,6593,3618,63,1211,23.66
Maluku,Maluku Tenggara,1016.92,129.169,29.41,94.48,93.48,35012,21007200000,1099549,96.76,99.17,75.44,30.97,102.91,20.51,20.3,12.5,0.83,70.93,9.84,70.58,96.78,5.68,578,5263,4408,62,1244,21.22
Maluku,Maluku Tengah,8253.92,432.361,33.99,95.61,93.4,103265,61959000000,1175008,92.09,89.45,64.02,88.76,99.65,35.69,17.45,10.54,1.44,71.01,9.79,75.1,98.33,6.5,2070,17709,11454,155,2794,17.67
Maluku,Buru,4915.56,142.347,56.15,91.46,91.55,36237,21742200000,1215282,95.64,96.21,75.67,65.44,100.45,26.38,17.73,12.35,2.06,70.34,9.02,72.55,91.82,4.66,674,6727,3167,71,1465,16.08
Maluku,Kepulauan Aru,8096.72,112.531,34.25,81.99,83.85,20454,12272400000,1025030,91.12,88.93,41.99,79.48,100.14,19.94,16.07,15.3,2.09,70.4,9.21,69.0,89.52,1.83,394,4650,4761,88,986,23.39
